,Links,Name,Rating,Cuisines,Reviews,Avg waiting time,Cost / Person
38,https://www.zomato.com/nagpur/brindavan-taste-of-kerala-sitabuldi/order,Brindavan -Taste Of Kerala,4.0,"['South Indian', ' Fast Food', ' Desserts', ' Beverages']",3378,24,100
39,https://www.zomato.com/nagpur/sweet-truth-sadar/order,Sweet Truth,3.9,"['Bakery', ' Desserts', ' Ice Cream']",856,33,250
40,https://www.zomato.com/nagpur/shrikhandwala-bajaj-nagar/order,Shrikhandwala,4.6,['Mithai'],630,26,100
41,https://www.zomato.com/nagpur/shree-ganesh-farsan-mohan-nagar/order,Shree Ganesh Farsan,4.2,"['Street Food', ' Mithai', ' Desserts']",4943,27,50
42,https://www.zomato.com/nagpur/loc-life-of-chai-ayodhya-nagar/order,LOC : Life Of Chai,4.2,"['Beverages', ' Street Food', ' Fast Food']",385,31,50
43,https://www.zomato.com/nagpur/dessertino-sadar/order,Dessertino,3.9,"['Desserts', ' Ice Cream', ' Beverages']",104,24,200
44,https://www.zomato.com/nagpur/ice-fire-gandhibagh/order,Ice & Fire,4.1,"['Fast Food', ' Beverages']",511,33,100
45,https://www.zomato.com/nagpur/pizza-ever-gandhibagh/order,Pizza Ever,3.8,"['Fast Food', ' Pizza']",1856,30,150
46,https://www.zomato.com/nagpur/calcutta-roll-biryani-center-nandanvan/order,Calcutta Roll Biryani Center,4.1,"['Rolls', ' Chinese']",1055,26,100
47,https://www.zomato.com/nagpur/natural-ice-cream-sadar/order,Natural Ice Cream,4.0,"['Desserts', ' Ice Cream']",2186,24,150
48,https://www.zomato.com/nagpur/two-brothers-shawarma-gayatri-nagar/order,Two Brothers Shawarma,3.9,['Lebanese'],954,44,150
49,https://www.zomato.com/nagpur/desi-grill-nandanvan/order,Desi Grill,3.9,"['Biryani', ' Desserts', ' Beverages']",9050,35,200
50,https://www.zomato.com/nagpur/yummi-momos-sadar/order,Yummi Momos,4.1,['Momos'],3224,33,150
51,https://www.zomato.com/nagpur/la-pasta-fresca-deli-dharampeth/order,La Pasta Fresca Deli,3.9,"['Italian', ' Pizza', ' Pasta']",867,42,400
52,https://www.zomato.com/nagpur/nineties-cafe-1-dharampeth/order,Nineties Cafe,4.1,"['Cafe', ' Desserts', ' Pizza', ' Sandwich', ' Wraps', ' Beverages', ' Burger']",994,37,150
53,https://www.zomato.com/nagpur/harrys-pastry-corner-sadar/order,Harrys Pastry Corner,3.7,"['Bakery', ' Desserts', ' Fast Food', ' Biryani']",2317,26,100
54,https://www.zomato.com/nagpur/juhis-kitchen-bajaj-nagar/order,Juhi's Kitchen,4.0,"['North Indian', ' Chinese', ' Fast Food', ' Biryani']",7876,38,200
55,https://www.zomato.com/nagpur/donuts-and-desserts-gandhibagh/order,Donuts And Desserts,4.3,['Desserts'],292,29,100
56,https://www.zomato.com/nagpur/plan-b-burger-bar-bajaj-nagar/order,Plan B - Burger Bar,4.2,"['Burger', ' Fast Food']",6602,43,250
57,https://www.zomato.com/nagpur/the-belgian-waffle-co-sadar/order,The Belgian Waffle Co.,4.2,['Desserts'],2408,33,150
58,https://www.zomato.com/nagpur/supr-baker-dharampeth/order,Supr Baker,4.1,"['Bakery', ' Desserts', ' Beverages', ' Sandwich', ' Fast Food']",3999,30,300
59,https://www.zomato.com/nagpur/taste-of-indore-sitabuldi/order,Taste of Indore,4.1,['Street Food'],400,30,50
